Origin;Destination;CostSubway;CostTram;Bonus
Moabit;Hauptbahnhof;1;0;5
Hauptbahnhof;Friedrichstadtpalast;1;0;5
Friedrichstadtpalast;Pergamonmuseum;1;0;1
Pergamonmuseum;Alex;1;0;3
Alex;Moritzplatz;1;0;5
Moritzplatz;Checkpoint_Charlie;1;0;5
Checkpoint_Charlie;Potsdamer_Platz;1;0;3
Potsdamer_Platz;Gemäldegalerie;1;0;3
Gemäldegalerie;Zoo;1;0;3
Zoo;Kudamm;1;0;1
Kudamm;Charlottenburger_Tor;1;0;3
Charlottenburger_Tor;Moabit;1;0;5
Charlottenburger_Tor;Siegessäule;0;3;4
Moabit;Siegessäule;0;3;4
Zoo;Siegessäule;0;2;2
Siegessäule;Tiergarten;0;2;2
Siegessäule;Gemäldegalerie;0;3;4
Tiergarten;Gemäldegalerie;0;2;2
Tiergarten;Hauptbahnhof;0;2;2
Tiergarten;Brandenburger_Tor;0;2;2
Hauptbahnhof;Reichstag;0;1;1
Reichstag;Brandenburger_Tor;0;1;1
Tiergarten;Potsdamer_Platz;0;2;2
Potsdamer_Platz;Brandenburger_Tor;0;2;2
Reichstag;Friedrichstadtpalast;0;2;2
Brandenburger_Tor;Unter_den_Linden;0;1;1
Friedrichstadtpalast;Unter_den_Linden;0;1;1
Potsdamer_Platz;Gendarmenmarkt;0;3;4
Unter_den_Linden;Gendarmenmarkt;0;1;1
Unter_den_Linden;Friedrichstadtpalast;0;1;1
Checkpoint_Charlie;Gendarmenmarkt;0;1;1
Unter_den_Linden;Pergamonmuseum;0;1;1
Gendarmenmarkt;Humboldt_Forum;0;2;2
Friedrichstadtpalast;Alex;0;4;7
Gendarmenmarkt;Moritzplatz;0;4;7
Humboldt_Forum;Moritzplatz;0;3;4
Humboldt_Forum;Alex;0;2;2
Pergamonmuseum;Humboldt_Forum;0;1;1
end
